27 161 67 930 (228, 122, 144)
51 280 902 290 (100, 242, 180)
161 283 271 858 (195, 210, 193)
184 315 931 428 (173, 162, 216)
194 381 241 912 (167, 151, 153)
210 396 949 422 (162, 119, 165)
221 420 275 981 (95, 54, 153)
228 460 964 495 (106, 167, 108)
264 489 286 950 (64, 100, 155)
271 495 979 527 (226, 166, 123)
304 515 335 971 (169, 174, 214)
327 574 964 609 (97, 115, 125)
350 601 396 957 (234, 131, 166)
374 646 990 682 (52, 90, 233)
383 680 385 955 (72, 91, 57)
384 726 995 728 (181, 88, 145)
416 727 430 961 (90, 85, 203)
429 749 972 792 (186, 109, 109)
442 761 453 975 (207, 87, 229)
444 771 972 800 (236, 163, 208)
456 787 473 982 (156, 106, 85)
459 821 987 859 (155, 100, 136)
486 826 508 994 (205, 144, 107)
504 838 979 841 (194, 197, 167)
530 840 548 970 (95, 216, 79)
