0 13 154 111 (231, 22, 8)
99 28 163 42 (78, 62, 194)
114 31 181 196 (98, 221, 175)
122 92 143 146 (174, 62, 196)
134 128 217 162 (247, 178, 63)
161 146 202 173 (133, 137, 40)
180 152 205 208 (19, 183, 76)
192 180 216 201 (3, 157, 58)
209 186 221 219 (102, 41, 118)
220 190 229 223 (219, 168, 21)
227 194 235 232 (233, 65, 41)
230 200 240 214 (241, 44, 173)
238 208 239 248 (185, 199, 214)
239 226 258 228 (194, 249, 61)
240 227 263 245 (217, 88, 231)
256 232 263 245 (125, 224, 8)
259 240 279 270 (85, 175, 128)
264 244 274 250 (2, 55, 105)
273 249 281 282 (106, 160, 230)
280 278 281 286 (98, 4, 53)
