193 44 224 458 (220, 241, 86)
222 435 733 823 (167, 37, 80)
625 729 678 743 (90, 239, 128)
645 742 793 820 (22, 253, 214)
653 759 891 867 (67, 74, 12)
864 863 912 872 (142, 95, 63)
904 864 924 918 (172, 211, 9)
919 901 925 908 (88, 202, 5)
921 903 930 933 (34, 246, 65)
927 922 943 926 (26, 171, 156)
941 923 944 938 (13, 184, 187)
943 930 952 935 (109, 216, 22)
947 934 951 945 (59, 92, 192)
949 938 954 941 (195, 142, 179)
952 940 953 951 (127, 126, 6)
953 944 964 956 (75, 252, 174)
959 948 965 969 (169, 61, 72)
964 965 978 967 (62, 124, 51)
977 966 983 972 (165, 19, 244)
979 967 984 988 (32, 147, 167)
